kernel32-x86-5.1.2600.5512.dll: PE32 executable (DLL) (32bits) (console) i386 (Mon Apr 14 08:11:24 2008)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0181   0x0180   0x000602cc GetNumaAvailableMemory
    0x0182   0x0181   0x00060312 GetNumaAvailableMemoryNode
    0x0183   0x0182   0x00060149 GetNumaHighestNodeNumber
    0x0184   0x0183   0x00060221 GetNumaNodeProcessorMask
    0x0185   0x0184   0x00060286 GetNumaProcessorMap
    0x0186   0x0185   0x00060194 GetNumaProcessorNode
    0x0187   0x0186   0x0002e03c GetNumberFormatA
    0x0188   0x0187   0x000338d4 GetNumberFormatW
    0x0189   0x0188   0x00074921 GetNumberOfConsoleFonts
    0x018a   0x0189   0x0007498d GetNumberOfConsoleInputEvents
    0x018b   0x018a   0x00073b01 GetNumberOfConsoleMouseButtons
    0x018c   0x018b   0x00011c37 GetOEMCP
    0x018d   0x018c   0x000309b4 GetOverlappedResult
    0x018e   0x018d   0x00061197 GetPriorityClass
    0x018f   0x018e   0x0003584c GetPrivateProfileIntA
    0x0190   0x018f   0x00031b48 GetPrivateProfileIntW
    0x0191   0x0190   0x00035339 GetPrivateProfileSectionA
    0x0192   0x0191   0x000321bf GetPrivateProfileSectionNamesA
    0x0193   0x0192   0x0005be12 GetPrivateProfileSectionNamesW
    0x0194   0x0193   0x0001e1a5 GetPrivateProfileSectionW
    0x0195   0x0194   0x00031f6e GetPrivateProfileStringA
    0x0196   0x0195   0x0000eded GetPrivateProfileStringW
    0x0197   0x0196   0x0005be33 GetPrivateProfileStructA
    0x0198   0x0197   0x0005bf9d GetPrivateProfileStructW
    0x0199   0x0198   0x0000a230 GetProcAddress
    0x019a   0x0199   0x00020b4d GetProcessAffinityMask
    0x019b   0x019a   0x000615ad GetProcessDEPPolicy
    0x019c   0x019b   0x0006150a GetProcessHandleCount
    0x019d   0x019c   0x0000a051 GetProcessHeap
    0x019e   0x019d   0x0005ece3 GetProcessHeaps
    0x019f   0x019e   0x00060f7d GetProcessId
    0x01a0   0x019f   0x000614d9 GetProcessIoCounters
    0x01a1   0x01a0   0x0006149f GetProcessPriorityBoost
    0x01a2   0x01a1   0x000611fd GetProcessShutdownParameters
    0x01a3   0x01a2   0x000346f1 GetProcessTimes
    0x01a4   0x01a3   0x000120b3 GetProcessVersion
    0x01a5   0x01a4   0x000613ec GetProcessWorkingSetSize
    0x01a6   0x01a5   0x000358c1 GetProfileIntA
    0x01a7   0x01a6   0x0002ec8a GetProfileIntW
    0x01a8   0x01a7   0x0005c3df GetProfileSectionA
    0x01a9   0x01a8   0x0005c418 GetProfileSectionW
    0x01aa   0x01a9   0x0002087d GetProfileStringA
    0x01ab   0x01aa   0x000207e0 GetProfileStringW
    0x01ac   0x01ab   0x00009bad GetQueuedCompletionStatus
    0x01ad   0x01ac   0x00034fc8 GetShortPathNameA
    0x01ae   0x01ad   0x0001e656 GetShortPathNameW
    0x01af   0x01ae   0x000012f2 GetStartupInfoA
    0x01b0   0x01af   0x00001254 GetStartupInfoW
    0x01b1   0x01b0   0x000123c9 GetStdHandle
    0x01b2   0x01b1   0x00037e24 GetStringTypeA
    0x01b3   0x01b2   0x000764ef GetStringTypeExA
    0x01b4   0x01b3   0x0000b47f GetStringTypeExW
    0x01b5   0x01b4   0x00009920 GetStringTypeW
    0x01b6   0x01b5   0x00061060 GetSystemDEPPolicy
    0x01b7   0x01b6   0x0000b3cd GetSystemDefaultLCID
    0x01b8   0x01b7   0x00011c42 GetSystemDefaultLangID
    0x01b9   0x01b8   0x000124c8 GetSystemDefaultUILanguage
    0x01ba   0x01b9   0x0001437a GetSystemDirectoryA
    0x01bb   0x01ba   0x000311d3 GetSystemDirectoryW
    0x01bc   0x01bb   0x000121e6 GetSystemInfo
    0x01bd   0x01bc   0x00034758 GetSystemPowerStatus
    0x01be   0x01bd   0x00061600 GetSystemRegistryQuota
    0x01bf   0x01be   0x00000b6f GetSystemTime
