kernel32-x86-6.1.7601.23677.dll: PE32 executable (DLL) (32bits) (console) i386 (Fri Feb 10 00:17:35 2017)
  Export KERNEL32.dll
    Ordinal  Hint     Entry      Name
    -------- -------- ---------- --------
    0x0163   0x0161   0x0001e311 FreeEnvironmentStringsA
    0x0164   0x0162   0x0001516b FreeEnvironmentStringsW
    0x0165   0x0163   0x00013468 FreeLibrary
    0x0166   0x0164   0x0002d56a FreeLibraryAndExitThread
    0x0167   0x0165   0x000ca3e7 FreeLibraryWhenCallbackReturns
    0x0168   0x0166   0x0002d3c3 FreeResource
    0x0169   0x0167   0x0009ec36 FreeUserPhysicalPages
    0x016a   0x0168   0x000b8237 GenerateConsoleCtrlEvent
    0x016b   0x0169   0x0001176c GetACP
    0x016c   0x016a   0x000934ff GetActiveProcessorCount
    0x016d   0x016b   0x0009347b GetActiveProcessorGroupCount
    0x016e   0x016c   0x00037e15 GetApplicationRecoveryCallback
    0x016f   0x016d   0x0009e796 GetApplicationRestartSettings
    0x0170   0x016e   0x00089be4 GetAtomNameA
    0x0171   0x016f   0x0002e674 GetAtomNameW
    0x0172   0x0170   0x0009a089 GetBinaryType
    0x0173   0x0171   0x0009a089 GetBinaryTypeA
    0x0174   0x0172   0x0003a2a5 GetBinaryTypeW
    0x0175   0x0173   0x00015129 GetCPInfo
    0x0176   0x0174   0x000a61df GetCPInfoExA
    0x0177   0x0175   0x0003af03 GetCPInfoExW
    0x0178   0x0176   0x000a5597 GetCalendarDateFormat
    0x0179   0x0177   0x000a52ea GetCalendarDateFormatEx
    0x017a   0x0178   0x000a487a GetCalendarDaysInMonth
    0x017b   0x0179   0x000a4d60 GetCalendarDifferenceInDays
    0x017c   0x017a   0x0003a1ae GetCalendarInfoA
    0x017d   0x017b   0x000bf531 GetCalendarInfoEx
    0x017e   0x017c   0x0002d51d GetCalendarInfoW
    0x017f   0x017d   0x000a50d6 GetCalendarMonthsInYear
    0x0180   0x017e   0x000a503c GetCalendarSupportedDateRange
    0x0181   0x017f   0x000a582a GetCalendarWeekNumber
    0x0182   0x0180   0x0009e3ea GetComPlusPackageInstallStatus
    0x0183   0x0181   0x00098841 GetCommConfig
    0x0184   0x0182   0x0009734d GetCommMask
    0x0185   0x0183   0x000973d6 GetCommModemStatus
    0x0186   0x0184   0x0009745f GetCommProperties
    0x0187   0x0185   0x0009750c GetCommState
    0x0188   0x0186   0x000977d3 GetCommTimeouts
    0x0189   0x0187   0x00015141 GetCommandLineA
    0x018a   0x0188   0x000151c3 GetCommandLineW
    0x018b   0x0189   0x0008d2e1 GetCompressedFileSizeA
    0x018c   0x018a   0x0008dbf7 GetCompressedFileSizeTransactedA
    0x018d   0x018b   0x0008d246 GetCompressedFileSizeTransactedW
    0x018e   0x018c   0x0008cfd1 GetCompressedFileSizeW
    0x018f   0x018d   0x0002b6d0 GetComputerNameA
    0x0190   0x018e   0x00094a6f GetComputerNameExA
    0x0191   0x018f   0x0003bb9e GetComputerNameExW
    0x0192   0x0190   0x0001dcd6 GetComputerNameW
    0x0193   0x0191   0x000b6dc5 GetConsoleAliasA
    0x0194   0x0192   0x000b6ea1 GetConsoleAliasExesA
    0x0195   0x0193   0x000b6e3d GetConsoleAliasExesLengthA
    0x0196   0x0194   0x000b6e30 GetConsoleAliasExesLengthW
